Locus Population Hj.est
A198 10 0.805906040268456
A198 12 0.823196308724832
A198 14 0.305785263157895
A198 2 0.386679292929293
A198 4 0.584782978723404
A198 6 0.612461419753087
A198 8 0.309984561403509
B113 10 0.925637583892618
B113 12 0.910802922259508
B113 14 0.479797894736842
B113 2 0.518202861952862
B113 4 0.743285106382979
B113 6 0.781688411896746
B113 8 0.520712982456141
B128 10 0.773243847874721
B128 12 0.782560822147651
B128 14 0.504858947368421
B128 2 0.618160774410775
B128 4 0.67976170212766
B128 6 0.711542508417508
B128 8 0.579637894736842
D39 10 0.728948545861298
D39 12 0.770763422818792
D39 14 0.536791578947368
D39 2 0.390186588103255
D39 4 0.429344680851064
D39 6 0.370019640852974
D39 8 0.518467368421053
E6 10 0.912393736017897
E6 12 0.912113744407159
E6 14 0.647343157894737
E6 2 0.569935465768799
E6 4 0.746553191489362
E6 6 0.704089506172839
E6 8 0.851806315789473
F12 10 0.802953020134228
F12 12 0.848975810961969
F12 14 0.381978947368421
F12 2 0.389309764309765
F12 4 0.593361702127659
F12 6 0.579580527497194
F12 8 0.387772631578947
F19 10 0.909351230425056
F19 12 0.922600321588367
F19 14 0.651991578947368
F19 2 0.76195987654321
F19 4 0.953463829787234
F19 6 0.920007365319866
F19 8 0.810307368421053
F21 10 0.405816554809843
F21 12 0.682938338926175
F21 14 0.152993684210526
F21 2 0.596240179573513
F21 4 0.154621276595745
F21 6 0.0618160774410774
F21 8 0.454871578947368
F22 10 0.251991051454139
F22 12 0.172810053131991
F22 14 0.403604210526316
F22 2 0.417368125701459
F22 4 0.481225531914894
F22 6 0.448933782267115
F22 8 0.289594385964912
F34 10 0.664697986577182
F34 12 0.642084381991051
F34 14 0.602475789473684
F34 2 0.569935465768799
F34 4 0.420357446808511
F34 6 0.439946338383838
F34 8 0.705661754385965
F4 10 0.934228187919463
F4 12 0.92412961409396
F4 14 0.599646315789474
F4 2 0.600624298540966
F4 4 0.646468085106383
F4 6 0.581114969135802
F4 8 0.456937543859649
F45 10 0.638031319910515
F45 12 0.57042610458613
F45 14 0.431696842105263
F45 2 0.633066778900112
F45 4 0.567421276595745
F45 6 0.521052539281706
F45 8 0.567062456140351
F47 10 0.523489932885906
F47 12 0.569115282438479
F47 14 0.492126315789474
F47 2 0.550645342312009
F47 4 0.0984510638297872
F47 6 0.534643308080808
F47 8 0.684373333333334
F49 10 0.281789709172259
F49 12 0.187884507829977
F49 14 0.429473684210526
F49 2 0.468223905723906
F49 4 0.245923404255319
F49 6 0.193778058361392
F49 8 0.352381754385965
F50 10 0.762774049217002
F50 12 0.769015659955257
F50 14 0.55962947368421
F50 2 0.385802469135802
F50 4 0.49736170212766
F50 6 0.506146534792369
F50 8 0.682576842105263
F58 10 0.564295302013422
F58 12 0.602759717561521
F58 14 0.170576842105263
F58 2 0.741792929292929
F58 4 0.0978382978723404
F58 6 0.212848975869809
F58 8 0.478854736842106
F69 10 0.846532438478747
F69 12 0.875192253914989
F69 14 0.453726315789474
F69 2 0.386679292929293
F69 4 0.700595744680851
F69 6 0.584403058361392
F69 8 0.619609824561404
F72 10 0.50013422818792
F72 12 0.196404851789709
F72 14 0.150164210526316
F72 2 0.0806677890011221
F72 4 0.0594382978723404
F72 6 0.137880541526375
F72 8 0.439421754385964
F9 10 0.860939597315436
F9 12 0.850068162751678
F9 14 0.488892631578947
F9 2 0.504173681257014
F9 4 0.682825531914893
F9 6 0.740696899551067
F9 8 0.540294736842106
L38 10 0.8634451901566
L38 12 0.858806977069351
L38 14 0.298913684210526
L38 2 0.530478395061728
L38 4 0.696714893617021
L38 6 0.70913124298541
L38 8 0.564008421052631
L58 10 0.940581655480984
L58 12 0.948379823825504
L58 14 0.761936842105263
L58 2 0.812815656565657
L58 4 0.841736170212766
L58 6 0.866082702020202
L58 8 0.805546666666667
L94 10 0.738434004474273
L94 12 0.602759717561522
L94 14 0.547503157894737
L94 2 0.41824494949495
L94 4 0.441804255319149
L94 6 0.506804152637486
L94 8 0.639371228070175
