allele number population locus proportion
155 124 2 A198 0.770833333
169 9 2 A198 0.020833333
171 11 2 A198 0.000000000
167 2 2 A198 0.145833333
173 4 2 A198 0.020833333
175 0 2 A198 0.020833333
193 0 2 A198 0.000000000
165 0 2 A198 0.000000000
177 0 2 A198 0.000000000
179 0 2 A198 0.000000000
183 0 2 A198 0.000000000
191 0 2 A198 0.000000000
181 0 2 A198 0.000000000
151 0 2 A198 0.020833333
163 0 2 A198 0.000000000
155 53 4 A198 0.110000000
169 15 4 A198 0.000000000
171 16 4 A198 0.000000000
167 23 4 A198 0.580000000
173 23 4 A198 0.280000000
175 3 4 A198 0.010000000
193 2 4 A198 0.000000000
165 11 4 A198 0.000000000
177 1 4 A198 0.000000000
179 1 4 A198 0.000000000
183 2 4 A198 0.000000000
191 0 4 A198 0.000000000
181 0 4 A198 0.000000000
151 0 4 A198 0.000000000
163 0 4 A198 0.020000000
155 22 6 A198 0.041666667
169 6 6 A198 0.020833333
171 28 6 A198 0.010416667
167 16 6 A198 0.520833333
173 9 6 A198 0.343750000
175 4 6 A198 0.031250000
193 1 6 A198 0.000000000
165 3 6 A198 0.000000000
177 2 6 A198 0.000000000
179 2 6 A198 0.031250000
183 0 6 A198 0.000000000
191 1 6 A198 0.000000000
181 2 6 A198 0.000000000
151 0 6 A198 0.000000000
163 0 6 A198 0.000000000
155 83 8 A198 0.826666667
169 1 8 A198 0.060000000
171 3 8 A198 0.073333333
167 3 8 A198 0.013333333
173 8 8 A198 0.026666667
175 1 8 A198 0.000000000
193 0 8 A198 0.000000000
165 1 8 A198 0.000000000
177 0 8 A198 0.000000000
179 0 8 A198 0.000000000
183 0 8 A198 0.000000000
191 0 8 A198 0.000000000
181 0 8 A198 0.000000000
151 0 8 A198 0.000000000
163 0 8 A198 0.000000000
155 37 10 A198 0.353333333
169 1 10 A198 0.100000000
171 0 10 A198 0.106666667
167 7 10 A198 0.153333333
173 1 10 A198 0.153333333
175 1 10 A198 0.020000000
193 0 10 A198 0.013333333
165 0 10 A198 0.073333333
177 0 10 A198 0.006666667
179 0 10 A198 0.006666667
183 0 10 A198 0.013333333
191 0 10 A198 0.000000000
181 0 10 A198 0.000000000
151 1 10 A198 0.000000000
163 0 10 A198 0.000000000
155 11 12 A198 0.229166667
169 0 12 A198 0.062500000
171 0 12 A198 0.291666667
167 58 12 A198 0.166666667
173 28 12 A198 0.093750000
175 1 12 A198 0.041666667
193 0 12 A198 0.010416667
165 0 12 A198 0.031250000
177 0 12 A198 0.020833333
179 0 12 A198 0.020833333
183 0 12 A198 0.000000000
191 0 12 A198 0.010416667
181 0 12 A198 0.020833333
151 0 12 A198 0.000000000
163 2 12 A198 0.000000000
155 4 14 A198 0.830000000
169 2 14 A198 0.010000000
171 1 14 A198 0.030000000
167 50 14 A198 0.030000000
173 33 14 A198 0.080000000
175 3 14 A198 0.010000000
193 0 14 A198 0.000000000
165 0 14 A198 0.010000000
177 0 14 A198 0.000000000
179 3 14 A198 0.000000000
183 0 14 A198 0.000000000
191 0 14 A198 0.000000000
181 0 14 A198 0.000000000
151 0 14 A198 0.000000000
163 0 14 A198 0.000000000
120 102 2 B113 0.083333333
122 5 2 B113 0.687500000
160 4 2 B113 0.000000000
136 1 2 B113 0.000000000
110 20 2 B113 0.020833333
150 1 2 B113 0.000000000
124 3 2 B113 0.041666667
148 1 2 B113 0.000000000
128 6 2 B113 0.000000000
114 1 2 B113 0.020833333
134 1 2 B113 0.000000000
118 3 2 B113 0.000000000
164 1 2 B113 0.000000000
172 1 2 B113 0.000000000
116 0 2 B113 0.020833333
126 0 2 B113 0.000000000
130 0 2 B113 0.041666667
112 0 2 B113 0.041666667
106 0 2 B113 0.000000000
140 0 2 B113 0.000000000
102 0 2 B113 0.000000000
108 0 2 B113 0.020833333
144 0 2 B113 0.000000000
138 0 2 B113 0.000000000
132 0 2 B113 0.000000000
146 0 2 B113 0.000000000
98 0 2 B113 0.020833333
120 17 4 B113 0.390000000
122 14 4 B113 0.050000000
160 0 4 B113 0.000000000
136 0 4 B113 0.000000000
110 6 4 B113 0.040000000
150 1 4 B113 0.000000000
124 8 4 B113 0.320000000
148 1 4 B113 0.000000000
128 20 4 B113 0.010000000
114 3 4 B113 0.000000000
134 5 4 B113 0.000000000
118 3 4 B113 0.000000000
164 0 4 B113 0.000000000
172 0 4 B113 0.000000000
116 10 4 B113 0.000000000
126 12 4 B113 0.090000000
130 5 4 B113 0.010000000
112 20 4 B113 0.020000000
106 3 4 B113 0.000000000
140 6 4 B113 0.000000000
102 7 4 B113 0.070000000
108 2 4 B113 0.000000000
144 2 4 B113 0.000000000
138 3 4 B113 0.000000000
132 1 4 B113 0.000000000
146 1 4 B113 0.000000000
98 0 4 B113 0.000000000
120 11 6 B113 0.354166667
122 5 6 B113 0.052083333
160 0 6 B113 0.000000000
136 1 6 B113 0.000000000
110 7 6 B113 0.135416667
150 0 6 B113 0.000000000
124 5 6 B113 0.218750000
148 1 6 B113 0.000000000
128 17 6 B113 0.000000000
114 8 6 B113 0.000000000
134 4 6 B113 0.000000000
118 3 6 B113 0.000000000
164 0 6 B113 0.000000000
172 0 6 B113 0.000000000
116 2 6 B113 0.000000000
126 3 6 B113 0.062500000
130 1 6 B113 0.000000000
112 15 6 B113 0.000000000
106 0 6 B113 0.000000000
140 3 6 B113 0.010416667
102 2 6 B113 0.166666667
108 1 6 B113 0.000000000
144 0 6 B113 0.000000000
138 3 6 B113 0.000000000
132 4 6 B113 0.000000000
146 0 6 B113 0.000000000
98 0 6 B113 0.000000000
120 13 8 B113 0.680000000
122 71 8 B113 0.033333333
160 0 8 B113 0.026666667
136 0 8 B113 0.006666667
110 2 8 B113 0.133333333
150 0 8 B113 0.006666667
124 3 8 B113 0.020000000
148 0 8 B113 0.006666667
128 4 8 B113 0.040000000
114 1 8 B113 0.006666667
134 0 8 B113 0.006666667
118 1 8 B113 0.020000000
164 0 8 B113 0.006666667
172 0 8 B113 0.006666667
116 0 8 B113 0.000000000
126 1 8 B113 0.000000000
130 0 8 B113 0.000000000
112 0 8 B113 0.000000000
106 0 8 B113 0.000000000
140 0 8 B113 0.000000000
102 0 8 B113 0.000000000
108 0 8 B113 0.000000000
144 0 8 B113 0.000000000
138 1 8 B113 0.000000000
132 3 8 B113 0.000000000
146 0 8 B113 0.000000000
98 0 8 B113 0.000000000
120 4 10 B113 0.113333333
122 33 10 B113 0.093333333
160 0 10 B113 0.000000000
136 0 10 B113 0.000000000
110 1 10 B113 0.040000000
150 0 10 B113 0.006666667
124 2 10 B113 0.053333333
148 0 10 B113 0.006666667
128 0 10 B113 0.133333333
114 1 10 B113 0.020000000
134 0 10 B113 0.033333333
118 0 10 B113 0.020000000
164 0 10 B113 0.000000000
172 0 10 B113 0.000000000
116 1 10 B113 0.066666667
126 0 10 B113 0.080000000
130 2 10 B113 0.033333333
112 2 10 B113 0.133333333
106 0 10 B113 0.020000000
140 0 10 B113 0.040000000
102 0 10 B113 0.046666667
108 1 10 B113 0.013333333
144 0 10 B113 0.013333333
138 0 10 B113 0.020000000
132 0 10 B113 0.006666667
146 0 10 B113 0.006666667
98 1 10 B113 0.000000000
120 39 12 B113 0.114583333
122 5 12 B113 0.052083333
160 0 12 B113 0.000000000
136 0 12 B113 0.010416667
110 4 12 B113 0.072916667
150 0 12 B113 0.000000000
124 32 12 B113 0.052083333
148 0 12 B113 0.010416667
128 1 12 B113 0.177083333
114 0 12 B113 0.083333333
134 0 12 B113 0.041666667
118 0 12 B113 0.031250000
164 0 12 B113 0.000000000
172 0 12 B113 0.000000000
116 0 12 B113 0.020833333
126 9 12 B113 0.031250000
130 1 12 B113 0.010416667
112 2 12 B113 0.156250000
106 0 12 B113 0.000000000
140 0 12 B113 0.031250000
102 7 12 B113 0.020833333
108 0 12 B113 0.010416667
144 0 12 B113 0.000000000
138 0 12 B113 0.031250000
132 0 12 B113 0.041666667
146 0 12 B113 0.000000000
98 0 12 B113 0.000000000
120 34 14 B113 0.130000000
122 5 14 B113 0.710000000
160 0 14 B113 0.000000000
136 0 14 B113 0.000000000
110 13 14 B113 0.020000000
150 0 14 B113 0.000000000
124 21 14 B113 0.030000000
148 0 14 B113 0.000000000
128 0 14 B113 0.040000000
114 0 14 B113 0.010000000
134 0 14 B113 0.000000000
118 0 14 B113 0.010000000
164 0 14 B113 0.000000000
172 0 14 B113 0.000000000
116 0 14 B113 0.000000000
126 6 14 B113 0.010000000
130 0 14 B113 0.000000000
112 0 14 B113 0.000000000
106 0 14 B113 0.000000000
140 1 14 B113 0.000000000
102 16 14 B113 0.000000000
108 0 14 B113 0.000000000
144 0 14 B113 0.000000000
138 0 14 B113 0.010000000
132 0 14 B113 0.030000000
146 0 14 B113 0.000000000
98 0 14 B113 0.000000000
171 78 2 B128 0.541666667
163 1 2 B128 0.000000000
185 59 2 B128 0.291666667
183 3 2 B128 0.041666667
177 2 2 B128 0.000000000
179 3 2 B128 0.083333333
187 2 2 B128 0.000000000
181 1 2 B128 0.020833333
173 1 2 B128 0.000000000
175 0 2 B128 0.000000000
191 0 2 B128 0.000000000
167 0 2 B128 0.000000000
189 0 2 B128 0.000000000
169 0 2 B128 0.020833333
193 0 2 B128 0.000000000
171 1 4 B128 0.010000000
163 0 4 B128 0.000000000
185 9 4 B128 0.020000000
183 43 4 B128 0.230000000
177 13 4 B128 0.000000000
179 24 4 B128 0.450000000
187 0 4 B128 0.000000000
181 50 4 B128 0.280000000
173 0 4 B128 0.000000000
175 6 4 B128 0.010000000
191 1 4 B128 0.000000000
167 1 4 B128 0.000000000
189 2 4 B128 0.000000000
169 0 4 B128 0.000000000
193 0 4 B128 0.000000000
171 1 6 B128 0.020833333
163 0 6 B128 0.000000000
185 6 6 B128 0.020833333
183 20 6 B128 0.333333333
177 12 6 B128 0.000000000
179 25 6 B128 0.322916667
