population sample.size locus
2 75 A198
4 75 A198
6 48 A198
8 50 A198
10 24 A198
12 50 A198
14 48 A198
2 75 B113
4 75 B113
6 48 B113
8 50 B113
10 24 B113
12 50 B113
14 48 B113
2 75 B128
4 75 B128
6 48 B128
8 50 B128
10 24 B128
12 50 B128
14 48 B128
2 75 D39
4 75 D39
6 48 D39
8 50 D39
10 24 D39
12 50 D39
14 48 D39
2 75 E6
4 75 E6
6 48 E6
8 50 E6
10 24 E6
12 50 E6
14 48 E6
2 75 F12
4 75 F12
6 48 F12
8 50 F12
10 24 F12
12 50 F12
14 48 F12
2 75 F19
4 75 F19
6 48 F19
8 50 F19
10 24 F19
12 50 F19
14 48 F19
2 75 F21
4 75 F21
6 48 F21
8 50 F21
10 24 F21
12 50 F21
14 48 F21
2 75 F22
4 75 F22
6 48 F22
8 50 F22
10 24 F22
12 50 F22
14 48 F22
2 75 F34
4 75 F34
6 48 F34
8 50 F34
10 24 F34
12 50 F34
14 48 F34
2 75 F4
4 75 F4
6 48 F4
8 50 F4
10 24 F4
12 50 F4
14 48 F4
2 75 F45
4 75 F45
6 48 F45
8 50 F45
10 24 F45
12 50 F45
14 48 F45
2 75 F47
4 75 F47
6 48 F47
8 50 F47
10 24 F47
12 50 F47
14 48 F47
2 75 F49
4 75 F49
6 48 F49
8 50 F49
10 24 F49
12 50 F49
14 48 F49
2 75 F50
4 75 F50
6 48 F50
8 50 F50
10 24 F50
12 50 F50
14 48 F50
2 75 F58
4 75 F58
6 48 F58
8 50 F58
10 24 F58
12 50 F58
14 48 F58
2 75 F69
4 75 F69
6 48 F69
8 50 F69
10 24 F69
12 50 F69
14 48 F69
2 75 F72
4 75 F72
6 48 F72
8 50 F72
10 24 F72
12 50 F72
14 48 F72
2 75 F9
4 75 F9
6 48 F9
8 50 F9
10 24 F9
12 50 F9
14 48 F9
2 75 L38
4 75 L38
6 48 L38
8 50 L38
10 24 L38
12 50 L38
14 48 L38
2 75 L58
4 75 L58
6 48 L58
8 50 L58
10 24 L58
12 50 L58
14 48 L58
2 75 L94
4 75 L94
6 48 L94
8 50 L94
10 24 L94
12 50 L94
14 48 L94
